RID	0(b=-0.0946)	1(b=-0.0369)	2(b=-0.0543)	Support	Rule
(-1, 56)	0.2915	0.3163	-0.5335	0.5000	petal length (cm) <= 4.367
(-1, 58)	0.4216	-0.4026	-0.2746	0.3250	petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 57)	-0.1672	-0.3722	0.3408	0.5750	petal length (cm) > 5.466 | petal width (cm) > 1.972 | sepal length (cm) <= 5.374
(-1, 53)	0.0364	0.3166	-0.3657	0.5750	sepal width (cm) > 3.209 | petal length (cm) <= 4.367
(-1, 60)	0.1761	-0.3563	0.2368	0.6000	sepal width (cm) > 3.507 | petal length (cm) > 5.466 | petal width (cm) > 1.972 | petal width (cm) <= 0.844
(-1, 70)	0.0673	-0.3359	0.2156	0.8333	sepal width (cm) > 3.703 | petal length (cm) > 5.450 | sepal length (cm) <= 6.280 | petal width (cm) <= 0.102
(-1, 74)	-0.3305	-0.0077	0.1460	0.6333	petal length (cm) > 4.367 | petal width (cm) > 1.972 | sepal width (cm) <= 2.872
(-1, 61)	0.0237	0.3194	-0.1035	0.7833	petal width (cm) <= 1.972
(-1, 103)	-0.3035	0.0551	-0.0092	0.6750	sepal length (cm) > 6.521 | petal length (cm) > 4.367 | petal width (cm) > 0.844
(-1, 55)	0.2890	-0.2984	0.0145	0.3833	sepal width (cm) > 3.703 | sepal length (cm) <= 5.374 | petal length (cm) <= 2.514 | petal width (cm) <= 0.114
(-1, 102)	-0.2925	-0.0916	0.1681	0.8000	petal length (cm) > 4.221 | petal width (cm) > 1.972 | sepal width (cm) <= 3.209
(-1, 71)	-0.2796	0.0998	0.0503	0.6833	petal width (cm) > 0.844 | sepal width (cm) <= 2.872
(-1, 88)	-0.2718	0.0847	0.0133	0.6750	sepal length (cm) > 6.521 | petal length (cm) > 2.514 | petal width (cm) > 0.844
(-1, 83)	0.2110	-0.2687	-0.1337	0.6000	petal length (cm) > 5.450 | petal width (cm) > 1.972 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 85)	0.1572	0.1680	-0.2664	0.5333	sepal length (cm) <= 5.747 | petal length (cm) <= 4.367 | petal width (cm) <= 0.844
(-1, 75)	-0.2656	0.0141	0.0083	0.6917	sepal length (cm) > 5.747 | petal length (cm) > 2.514 | petal width (cm) > 2.434 | sepal width (cm) <= 2.872
(-1, 81)	-0.2562	0.0003	0.1423	0.7417	sepal length (cm) > 5.374 | petal length (cm) > 4.221 | petal width (cm) > 0.844
(-1, 52)	-0.2547	-0.0408	0.0407	0.6833	sepal length (cm) > 5.747 | petal length (cm) > 2.514
(-1, 66)	-0.2516	-0.0489	0.0131	0.8083	sepal length (cm) > 5.747 | petal length (cm) > 5.466 | petal width (cm) > 0.844 | sepal width (cm) <= 3.209
(-1, 89)	0.0643	0.0567	-0.2346	0.6000	sepal width (cm) > 3.209 | sepal length (cm) <= 5.747 | petal length (cm) <= 4.221
(-1, 96)	-0.1647	-0.2330	0.1693	0.5167	petal length (cm) > 5.466 | petal width (cm) > 1.972 | sepal width (cm) <= 2.872
(-1, 84)	0.1192	-0.0869	-0.2311	0.5750	sepal width (cm) > 3.209 | sepal length (cm) <= 5.374 | petal length (cm) <= 4.221 | petal width (cm) <= 0.844
(-1, 72)	0.0681	-0.2264	0.0180	0.9250	sepal width (cm) > 3.507 | petal length (cm) > 5.450 | petal width (cm) > 2.434 | sepal length (cm) <= 6.521 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 63)	0.1631	0.0534	-0.2188	0.7917	petal length (cm) <= 5.466 | petal width (cm) <= 0.844
