RID	0(b=-0.0946)	Support	Rule
(-1, 56)	0.2915	0.5000	petal length (cm) <= 4.367
(-1, 58)	0.4216	0.3250	petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 57)	-0.1672	0.5750	petal length (cm) > 5.466 | petal width (cm) > 1.972 | sepal length (cm) <= 5.374
(-1, 53)	0.0364	0.5750	sepal width (cm) > 3.209 | petal length (cm) <= 4.367
(-1, 60)	0.1761	0.6000	sepal width (cm) > 3.507 | petal length (cm) > 5.466 | petal width (cm) > 1.972 | petal width (cm) <= 0.844
(-1, 70)	0.0673	0.8333	sepal width (cm) > 3.703 | petal length (cm) > 5.450 | sepal length (cm) <= 6.280 | petal width (cm) <= 0.102
(-1, 74)	-0.3305	0.6333	petal length (cm) > 4.367 | petal width (cm) > 1.972 | sepal width (cm) <= 2.872
(-1, 61)	0.0237	0.7833	petal width (cm) <= 1.972
(-1, 103)	-0.3035	0.6750	sepal length (cm) > 6.521 | petal length (cm) > 4.367 | petal width (cm) > 0.844
(-1, 55)	0.2890	0.3833	sepal width (cm) > 3.703 | sepal length (cm) <= 5.374 | petal length (cm) <= 2.514 | petal width (cm) <= 0.114
(-1, 102)	-0.2925	0.8000	petal length (cm) > 4.221 | petal width (cm) > 1.972 | sepal width (cm) <= 3.209
(-1, 71)	-0.2796	0.6833	petal width (cm) > 0.844 | sepal width (cm) <= 2.872
(-1, 88)	-0.2718	0.6750	sepal length (cm) > 6.521 | petal length (cm) > 2.514 | petal width (cm) > 0.844
(-1, 83)	0.2110	0.6000	petal length (cm) > 5.450 | petal width (cm) > 1.972 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 85)	0.1572	0.5333	sepal length (cm) <= 5.747 | petal length (cm) <= 4.367 | petal width (cm) <= 0.844
(-1, 75)	-0.2656	0.6917	sepal length (cm) > 5.747 | petal length (cm) > 2.514 | petal width (cm) > 2.434 | sepal width (cm) <= 2.872
(-1, 81)	-0.2562	0.7417	sepal length (cm) > 5.374 | petal length (cm) > 4.221 | petal width (cm) > 0.844
(-1, 52)	-0.2547	0.6833	sepal length (cm) > 5.747 | petal length (cm) > 2.514
(-1, 66)	-0.2516	0.8083	sepal length (cm) > 5.747 | petal length (cm) > 5.466 | petal width (cm) > 0.844 | sepal width (cm) <= 3.209
(-1, 89)	0.0643	0.6000	sepal width (cm) > 3.209 | sepal length (cm) <= 5.747 | petal length (cm) <= 4.221
(-1, 96)	-0.1647	0.5167	petal length (cm) > 5.466 | petal width (cm) > 1.972 | sepal width (cm) <= 2.872
(-1, 84)	0.1192	0.5750	sepal width (cm) > 3.209 | sepal length (cm) <= 5.374 | petal length (cm) <= 4.221 | petal width (cm) <= 0.844
(-1, 72)	0.0681	0.9250	sepal width (cm) > 3.507 | petal length (cm) > 5.450 | petal width (cm) > 2.434 | sepal length (cm) <= 6.521 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 63)	0.1631	0.7917	petal length (cm) <= 5.466 | petal width (cm) <= 0.844
(-1, 54)	-0.2158	0.5000	petal length (cm) > 4.367 | petal width (cm) > 2.434
(-1, 76)	-0.2145	0.7500	sepal length (cm) > 5.374 | petal width (cm) > 0.844 | sepal width (cm) <= 2.872
(-1, 94)	0.1950	0.9500	sepal width (cm) > 3.507 | petal length (cm) > 5.450 | petal width (cm) > 1.972 | sepal length (cm) <= 6.521 | petal length (cm) <= 2.514 | petal width (cm) <= 0.102
(-1, 31)	0.0813	0.2583	sepal length (cm) <= 5.374 & petal length (cm) <= 2.514
(-1, 50)	0.1998	0.7083	sepal width (cm) > 2.872 | petal length (cm) <= 2.514
(-1, 15)	-0.1340	0.1583	petal length (cm) > 4.367 & petal width (cm) > 1.972 & sepal width (cm) <= 3.209
(-1, 51)	-0.1919	0.5000	petal length (cm) > 4.367
(-1, 97)	0.0904	0.8083	sepal width (cm) > 3.507 | petal length (cm) <= 4.367 | petal width (cm) <= 1.972
(-1, 73)	0.1913	0.5333	sepal width (cm) > 3.507 | sepal length (cm) <= 5.374 | petal length (cm) <= 4.367 | petal width (cm) <= 0.844
(-1, 67)	-0.1815	0.5083	petal length (cm) > 4.221 | petal width (cm) > 1.972
(-1, 69)	-0.1812	0.7500	sepal length (cm) > 5.374 | petal length (cm) > 2.514 | petal width (cm) > 2.434 | sepal width (cm) <= 2.872
(-1, 78)	0.1773	0.3833	sepal width (cm) > 3.703 | sepal length (cm) <= 5.374 | petal length (cm) <= 2.514
(-1, 100)	-0.1250	0.4583	petal length (cm) > 5.466 | sepal width (cm) <= 2.872
(-1, 47)	-0.0667	0.1750	petal length (cm) > 2.514 & petal width (cm) > 0.844 & sepal width (cm) <= 3.507 & petal length (cm) <= 4.367
(-1, 87)	-0.1364	0.2750	petal length (cm) > 5.450 | petal width (cm) > 1.972
(-1, 104)	0.1566	0.4917	sepal length (cm) <= 5.747 | petal length (cm) <= 2.514 | petal width (cm) <= 0.844
(-1, 28)	0.1356	0.3167	sepal width (cm) > 2.872 & sepal length (cm) <= 6.521 & petal length (cm) <= 2.514
(-1, 37)	-0.1579	0.2083	petal length (cm) > 5.450
(-1, 2)	-0.0000	0.2167	petal width (cm) > 1.972
(-1, 62)	-0.1557	0.7417	sepal length (cm) > 5.374 | petal length (cm) > 2.514 | petal width (cm) > 0.844
(-1, 90)	-0.0089	0.7917	petal length (cm) <= 5.466
(-1, 92)	-0.1546	0.6750	petal length (cm) > 2.514 | petal width (cm) > 0.844
